S_CITY,E_CITY,COUPON,NEW,VACATION,SW,HI,S_INCOME,E_INCOME,S_POP,E_POP,SLOT,GATE,DISTANCE,PAX,FARE
Seattle/Tacoma      WA,Boise               ID,1.0700000524520874,3,No,Yes,5255.240234375,30916,23901,2230831,372606,Free,Free,403,5995,69.12000274658203
Atlanta             GA,Boston              MA,1.25,3,No,No,5736.33984375,26993,30124,3532657,5787293,Free,Free,939,14005,210.0
New York/Newark     NY,Buffalo             NY,1.0099999904632568,3,No,No,4040.090087890625,32991,23184,8621121,1173217,Controlled,Free,291,12432,134.3000030517578
New York/Newark     NY,Buffalo             NY,1.0099999904632568,3,No,No,4040.090087890625,32991,23184,8621121,1173217,Controlled,Free,291,12432,134.3000030517578
New York/Newark     NY,Buffalo             NY,1.0099999904632568,3,No,No,4040.090087890625,32991,23184,8621121,1173217,Free,Constrained,291,12432,134.3000030517578
New York/Newark     NY,Charleston          SC,1.340000033378601,0,No,No,2587.889892578125,32991,18851,8621121,254153,Controlled,Free,637,6003,118.94999694824219
New York/Newark     NY,Charleston          SC,1.340000033378601,3,No,No,2587.889892578125,32991,18851,8621121,254153,Controlled,Free,637,6003,118.94999694824219
New York/Newark     NY,Charleston          SC,1.340000033378601,1,No,No,2587.889892578125,32991,18851,8621121,254153,Free,Constrained,637,6003,118.94999694824219
Atlanta             GA,Charlotte           NC,1.0099999904632568,3,No,No,4435.919921875,26993,25237,3532657,1318892,Free,Constrained,227,7335,97.95999908447266
Boston              MA,Charlotte           NC,1.25,3,No,No,8589.169921875,30124,25237,5787293,1318892,Free,Constrained,722,3263,237.8000030517578
Chicago             IL,Charlotte           NC,1.159999966621399,3,No,No,4523.31005859375,29260,25237,7830332,1318892,Controlled,Constrained,589,5153,234.14999389648438
Chicago             IL,Charlotte           NC,1.159999966621399,3,No,No,4523.31005859375,29260,25237,7830332,1318892,Free,Constrained,589,5153,234.14999389648438
Dallas/Fort Worth   TX,Charlotte           NC,1.1399999856948853,3,No,No,4439.85986328125,28637,25237,3036732,1318892,Free,Constrained,940,4493,203.1699981689453
New York/Newark     NY,Charlotte           NC,1.1200000047683716,3,No,No,8714.0302734375,32991,25237,8621121,1318892,Controlled,Constrained,539,9305,250.72999572753906
New York/Newark     NY,Charlotte           NC,1.1200000047683716,3,No,No,8714.0302734375,32991,25237,8621121,1318892,Controlled,Constrained,539,9305,250.72999572753906
New York/Newark     NY,Charlotte           NC,1.1200000047683716,3,No,No,8714.0302734375,32991,25237,8621121,1318892,Free,Constrained,539,9305,250.72999572753906
Atlanta             GA,Chicago             IL,1.0399999618530273,3,No,No,2712.3701171875,26993,29260,3532657,7830332,Controlled,Free,595,30877,106.5999984741211
Atlanta             GA,Chicago             IL,1.0399999618530273,3,No,No,2712.3701171875,26993,29260,3532657,7830332,Free,Free,595,30877,106.5999984741211
Austin              TX,Chicago             IL,1.25,3,No,Yes,4417.16015625,23665,29260,1038660,7830332,Controlled,Free,974,4980,136.27000427246094
Austin              TX,Chicago             IL,1.25,3,No,Yes,4417.16015625,23665,29260,1038660,7830332,Free,Free,974,4980,136.27000427246094
Boston              MA,Chicago             IL,1.149999976158142,1,No,No,3977.22998046875,30124,29260,5787293,7830332,Controlled,Free,854,20718,230.8699951171875
Boston              MA,Chicago             IL,1.149999976158142,3,No,No,3977.22998046875,30124,29260,5787293,7830332,Free,Free,854,20718,230.8699951171875
Cincinnati          OH,Chicago             IL,1.0099999904632568,3,No,No,3910.81005859375,25059,29260,1595139,7830332,Controlled,Constrained,254,7069,180.55999755859375
Cincinnati          OH,Chicago             IL,1.0099999904632568,0,No,No,3910.81005859375,25059,29260,1595139,7830332,Free,Constrained,254,7069,180.55999755859375
Atlanta             GA,Cincinnati          OH,1.159999966621399,3,No,No,9350.1298828125,26993,25059,3532657,1595139,Free,Constrained,371,3892,215.8300018310547
Atlanta             GA,Cleveland           OH,1.1200000047683716,3,No,No,4478.8701171875,26993,26046,3532657,2915745,Free,Free,561,4821,197.10000610351562
Chicago             IL,Cleveland           OH,1.0099999904632568,3,No,Yes,2800.909912109375,29260,26046,7830332,2915745,Controlled,Free,316,24405,69.0999984741211
Chicago             IL,Cleveland           OH,1.0099999904632568,1,No,Yes,2800.909912109375,29260,26046,7830332,2915745,Free,Free,316,24405,69.0999984741211
Dallas/Fort Worth   TX,Colorado Springs    CO,1.059999942779541,3,No,No,5110.5400390625,28637,22263,3036732,472254,Free,Free,592,6098,91.83000183105469
Houston             TX,Colorado Springs    CO,1.190000057220459,3,No,No,4037.090087890625,27211,22263,3770125,472254,Free,Free,817,4281,111.66000366210938
Las Vegas           NV,Colorado Springs    CO,1.159999966621399,3,Yes,No,3465.139892578125,24575,22263,1197234,472254,Free,Free,602,8810,57.619998931884766
Los Angeles         CA,Colorado Springs    CO,1.3600000143051147,3,No,No,4384.6298828125,24706,22263,9056076,472254,Free,Free,833,5762,104.72000122070312
New York/Newark     NY,Colorado Springs    CO,1.3600000143051147,3,No,No,2421.0400390625,32991,22263,8621121,472254,Controlled,Free,1636,5185,154.74000549316406
New York/Newark     NY,Colorado Springs    CO,1.3600000143051147,3,No,No,2421.0400390625,32991,22263,8621121,472254,Controlled,Free,1636,5185,154.74000549316406
New York/Newark     NY,Colorado Springs    CO,1.3600000143051147,3,No,No,2421.0400390625,32991,22263,8621121,472254,Free,Constrained,1636,5185,154.74000549316406
Phoenix             AZ,Colorado Springs    CO,1.090000033378601,3,No,No,4351.31005859375,23025,22263,2753373,472254,Free,Free,550,7599,77.9800033569336
Washington          DC,Colorado Springs    CO,1.6799999475479126,3,No,No,2661.530029296875,31981,22263,4549784,472254,Free,Free,1476,4945,157.1999969482422
Washington          DC,Colorado Springs    CO,1.6799999475479126,3,No,No,2661.530029296875,31981,22263,4549784,472254,Controlled,Free,1476,4945,157.1999969482422
Atlanta             GA,Columbus            OH,1.1299999952316284,3,No,No,5356.509765625,26993,24502,3532657,1442203,Free,Free,445,6075,113.19999694824219
Boston              MA,Columbus            OH,1.2200000286102295,3,No,No,3789.639892578125,30124,24502,5787293,1442203,Free,Free,633,4758,143.58999633789062
Chicago             IL,Columbus            OH,1.0099999904632568,3,No,Yes,2668.199951171875,29260,24502,7830332,1442203,Controlled,Free,286,14516,75.06999969482422
Chicago             IL,Columbus            OH,1.0099999904632568,0,No,Yes,2668.199951171875,29260,24502,7830332,1442203,Free,Free,286,14516,75.06999969482422
Albuquerque         NM,Dallas/Fort Worth   TX,1.0199999809265137,3,No,Yes,5222.2998046875,22089,28637,668159,3036732,Free,Free,573,10941,84.45999908447266
Atlanta             GA,Dallas/Fort Worth   TX,1.0499999523162842,3,No,No,4624.89990234375,26993,28637,3532657,3036732,Free,Free,734,23075,113.98999786376953
Austin              TX,Dallas/Fort Worth   TX,1.0,3,No,Yes,5502.330078125,23665,28637,1038660,3036732,Free,Free,184,18843,67.16999816894531
Boston              MA,Dallas/Fort Worth   TX,1.190000057220459,3,No,No,5605.06005859375,30124,28637,5787293,3036732,Free,Free,1559,8756,320.3699951171875
Chicago             IL,Dallas/Fort Worth   TX,1.1399999856948853,3,No,No,6205.97021484375,29260,28637,7830332,3036732,Controlled,Free,805,20264,244.5
Chicago             IL,Dallas/Fort Worth   TX,1.1399999856948853,3,No,No,6205.97021484375,29260,28637,7830332,3036732,Free,Free,805,20264,244.5
Corpus Christi      TX,Dallas/Fort Worth   TX,1.0199999809265137,3,No,Yes,4386.5498046875,18933,28637,382155,3036732,Free,Free,354,5391,78.62000274658203
Atlanta             GA,Denver              CO,1.2300000190734863,3,No,No,4202.66015625,26993,29055,3532657,1862106,Free,Free,1200,7621,210.89999389648438
Boston              MA,Denver              CO,1.350000023841858,3,No,No,6140.91015625,30124,29055,5787293,1862106,Free,Free,1755,5820,311.4599914550781
Chicago             IL,Denver              CO,1.0800000429153442,3,No,No,5792.27978515625,29260,29055,7830332,1862106,Controlled,Free,902,16263,174.05999755859375
Chicago             IL,Denver              CO,1.0800000429153442,3,No,No,5792.27978515625,29260,29055,7830332,1862106,Free,Free,902,16263,174.05999755859375
Dallas/Fort Worth   TX,Denver              CO,1.059999942779541,3,No,No,4157.60986328125,28637,29055,3036732,1862106,Free,Free,638,11298,155.80999755859375
Atlanta             GA,Detroit             MI,1.0499999523162842,3,No,No,4312.9501953125,26993,26506,3532657,4459144,Free,Constrained,600,12752,106.55999755859375
Boston              MA,Detroit             MI,1.059999942779541,3,No,No,8162.77001953125,30124,26506,5787293,4459144,Free,Constrained,616,10358,110.41999816894531
Chicago             IL,Detroit             MI,1.0,3,No,Yes,3059.780029296875,29260,26506,7830332,4459144,Controlled,Constrained,237,34113,74.27999877929688
Chicago             IL,Detroit             MI,1.0,3,No,Yes,3059.780029296875,29260,26506,7830332,4459144,Free,Constrained,237,34113,74.27999877929688
Dallas/Fort Worth   TX,Detroit             MI,1.2200000286102295,3,No,No,4033.320068359375,28637,26506,3036732,4459144,Free,Constrained,1001,6401,245.27999877929688
Denver              CO,Detroit             MI,1.2100000381469727,3,No,No,4213.7099609375,29055,26506,1862106,4459144,Free,Constrained,1139,3851,256.4800109863281
Dallas/Fort Worth   TX,El Paso             TX,1.0199999809265137,3,No,Yes,5063.06982421875,28637,14600,3036732,677757,Free,Free,548,10989,84.2300033569336
Atlanta             GA,Fort Lauderdale     FL,1.0199999809265137,3,Yes,No,7032.27001953125,26993,26752,3532657,1440377,Free,Free,578,11425,105.0999984741211
Boston              MA,Fort Lauderdale     FL,1.2699999809265137,3,Yes,No,2682.5400390625,30124,26752,5787293,1440377,Free,Free,1229,10483,121.08999633789062
Chicago             IL,Fort Lauderdale     FL,1.149999976158142,3,Yes,Yes,2482.760009765625,29260,26752,7830332,1440377,Controlled,Free,1168,10117,153.9499969482422
Chicago             IL,Fort Lauderdale     FL,1.149999976158142,3,Yes,Yes,2482.760009765625,29260,26752,7830332,1440377,Free,Free,1168,10117,153.9499969482422
Dallas/Fort Worth   TX,Fort Lauderdale     FL,1.159999966621399,3,Yes,No,4677.02978515625,28637,26752,3036732,1440377,Free,Free,1118,3402,207.83999633789062
Detroit             MI,Fort Lauderdale     FL,1.1699999570846558,3,Yes,No,4681.68017578125,26506,26752,4459144,1440377,Free,Constrained,1128,6103,113.38999938964844
Boston              MA,Fort Meyers         FL,1.4700000286102295,3,Yes,No,2565.52001953125,30124,26752,5787293,379566,Free,Free,1245,6390,126.62000274658203
Chicago             IL,Fort Meyers         FL,1.2000000476837158,3,Yes,No,3247.31005859375,29260,26752,7830332,379566,Controlled,Free,1108,7196,136.67999267578125
Chicago             IL,Fort Meyers         FL,1.2000000476837158,3,Yes,No,3247.31005859375,29260,26752,7830332,379566,Free,Free,1108,7196,136.67999267578125
Detroit             MI,Fort Meyers         FL,1.1299999952316284,3,Yes,No,4516.89990234375,26506,26752,4459144,379566,Free,Constrained,1088,7049,108.1500015258789
New York/Newark     NY,Greensboro/High Pt  NC,1.0700000524520874,3,No,No,4840.47998046875,32991,24348,8621121,111745,Controlled,Free,457,7574,180.85000610351562
New York/Newark     NY,Greensboro/High Pt  NC,1.0700000524520874,3,No,No,4840.47998046875,32991,24348,8621121,111745,Controlled,Free,457,7574,180.85000610351562
New York/Newark     NY,Greensboro/High Pt  NC,1.0700000524520874,3,No,No,4840.47998046875,32991,24348,8621121,111745,Free,Constrained,457,7574,180.85000610351562
Atlanta             GA,Hartford            CT,1.340000033378601,3,No,No,5137.41015625,26993,30268,3532657,1106780,Free,Free,854,5806,175.80999755859375
Chicago             IL,Hartford            CT,1.1299999952316284,3,No,No,4146.1298828125,29260,30268,7830332,1106780,Controlled,Free,779,6614,240.8800048828125
Chicago             IL,Hartford            CT,1.1299999952316284,3,No,No,4146.1298828125,29260,30268,7830332,1106780,Free,Free,779,6614,240.8800048828125
Las Vegas           NV,Honolulu (Intl)     HI,1.559999942779541,3,Yes,No,3135.139892578125,24575,26681,1197234,873131,Free,Free,2764,6462,183.19000244140625
Los Angeles         CA,Honolulu (Intl)     HI,1.0299999713897705,3,Yes,No,1706.8900146484375,24706,26681,9056076,873131,Free,Free,2555,32824,167.16000366210938
San Francisco       CA,Honolulu (Intl)     HI,1.0399999618530273,3,Yes,No,2447.139892578125,38813,26681,1653017,873131,Free,Free,2401,19055,177.08999633789062
Seattle/Tacoma      WA,Honolulu (Intl)     HI,1.2899999618530273,3,Yes,No,3333.110107421875,30916,26681,2230831,873131,Free,Free,2679,6464,221.88999938964844
Atlanta             GA,Houston             TX,1.190000057220459,3,No,No,4468.7998046875,26993,27211,3532657,3770125,Free,Free,701,7201,233.16000366210938
Austin              TX,Houston             TX,1.0,3,No,Yes,6269.39013671875,23665,27211,1038660,3770125,Free,Free,138,9874,67.0999984741211
Boston              MA,Houston             TX,1.409999966621399,3,No,No,5497.259765625,30124,27211,5787293,3770125,Free,Free,1605,4272,349.9700012207031
Chicago             IL,Houston             TX,1.090000033378601,3,No,Yes,2572.419921875,29260,27211,7830332,3770125,Controlled,Free,939,16868,139.55999755859375
Chicago             IL,Houston             TX,1.090000033378601,3,No,Yes,2572.419921875,29260,27211,7830332,3770125,Free,Free,939,16868,139.55999755859375
Cleveland           OH,Houston             TX,1.309999942779541,3,No,Yes,6172.9501953125,26046,27211,2230955,3770125,Free,Free,1117,4057,191.6300048828125
Corpus Christi      TX,Houston             TX,1.0,3,No,Yes,5826.14013671875,18933,27211,382155,3770125,Free,Free,184,5312,65.30999755859375
Dallas/Fort Worth   TX,Houston             TX,1.0,3,No,Yes,4992.6298828125,28637,27211,3036732,3770125,Free,Free,234,54429,67.77999877929688
Denver              CO,Houston             TX,1.1399999856948853,3,No,No,4103.10009765625,29055,27211,1862106,3770125,Free,Free,866,5860,204.67999267578125
Detroit             MI,Houston             TX,1.190000057220459,3,No,Yes,3649.800048828125,26506,27211,4459144,3770125,Free,Constrained,1102,4660,177.22000122070312
Atlanta             GA,Indianapolis        IN,1.1200000047683716,3,No,No,5180.1298828125,26993,25475,3532657,1489247,Free,Free,430,5378,109.77999877929688
Chicago             IL,Indianapolis        IN,1.0,3,No,Yes,3702.179931640625,29260,25475,7830332,1489247,Controlled,Free,167,9355,62.630001068115234
Chicago             IL,Indianapolis        IN,1.0,0,No,Yes,3702.179931640625,29260,25475,7830332,1489247,Free,Free,167,9355,62.630001068115234
Detroit             MI,Indianapolis        IN,1.1100000143051147,3,No,Yes,8437.669921875,26506,25475,4459144,1489247,Free,Constrained,241,4790,169.5800018310547
Fort Meyers         FL,Indianapolis        IN,1.2100000381469727,3,Yes,No,6134.259765625,24510,25475,379566,1489247,Free,Free,943,3624,105.7300033569336
Las Vegas           NV,Indianapolis        IN,1.340000033378601,3,Yes,No,2883.64990234375,24575,25475,1197234,1489247,Free,Free,1588,7406,114.12999725341797
Los Angeles         CA,Indianapolis        IN,1.5199999809265137,3,No,No,1787.7099609375,24706,25475,9056076,1489247,Free,Free,1815,5869,153.5
New York/Newark     NY,Indianapolis        IN,1.2699999809265137,0,No,No,3543.340087890625,32991,25475,8621121,1489247,Controlled,Free,657,7109,195.63999938964844
New York/Newark     NY,Indianapolis        IN,1.2699999809265137,3,No,No,3543.340087890625,32991,25475,8621121,1489247,Controlled,Free,657,7109,195.63999938964844
New York/Newark     NY,Indianapolis        IN,1.2699999809265137,3,No,No,3543.340087890625,32991,25475,8621121,1489247,Free,Constrained,657,7109,195.63999938964844
Orlando             FL,Indianapolis        IN,1.2400000095367432,3,Yes,Yes,3009.47998046875,22360,25475,1421287,1489247,Free,Free,828,7675,97.36000061035156
Phoenix             AZ,Indianapolis        IN,1.2699999809265137,3,No,Yes,3446.75,23025,25475,2753373,1489247,Free,Free,1491,5100,138.0800018310547
San Francisco       CA,Indianapolis        IN,1.7100000381469727,3,No,No,1892.3699951171875,38813,25475,1653017,1489247,Free,Free,1941,3814,157.4499969482422
Tampa               FL,Indianapolis        IN,1.2799999713897705,3,Yes,Yes,3076.530029296875,23654,25475,2195215,1489247,Free,Free,844,5160,99.43000030517578
Atlanta             GA,Jacksonville        FL,1.0,3,Yes,No,5963.75,26993,23614,3532657,1008768,Free,Free,280,8571,87.58999633789062
Chicago             IL,Jacksonville        FL,1.4500000476837158,3,Yes,No,3198.81005859375,29260,23614,7830332,1008768,Controlled,Free,865,3789,158.6300048828125
Chicago             IL,Jacksonville        FL,1.4500000476837158,3,Yes,No,3198.81005859375,29260,23614,7830332,1008768,Free,Free,865,3789,158.6300048828125
Fort Lauderdale     FL,Jacksonville        FL,1.0099999904632568,3,Yes,No,3305.699951171875,26752,23614,1440377,1008768,Free,Free,303,1859,114.93000030517578
Atlanta             GA,Kansas City         MO,1.1100000143051147,0,No,No,6722.009765625,26993,25450,3532657,1694803,Free,Free,685,6426,116.18000030517578
Chicago             IL,Kansas City         MO,1.0399999618530273,3,No,Yes,3296.050048828125,29260,25450,7830332,1694803,Controlled,Free,407,20529,75.70999908447266
Chicago             IL,Kansas City         MO,1.0399999618530273,0,No,Yes,3296.050048828125,29260,25450,7830332,1694803,Free,Free,407,20529,75.70999908447266
Dallas/Fort Worth   TX,Kansas City         MO,1.2000000476837158,3,No,No,7520.08984375,28637,25450,3036732,1694803,Free,Free,458,9381,116.56999969482422
Denver              CO,Kansas City         MO,1.0199999809265137,3,No,No,5505.7900390625,29055,25450,1862106,1694803,Free,Free,541,7679,110.25
Detroit             MI,Kansas City         MO,1.309999942779541,3,No,Yes,5569.75,26506,25450,4459144,1694803,Free,Constrained,639,4987,123.2699966430664
Houston             TX,Kansas City         MO,1.0800000429153442,2,No,Yes,4343.85009765625,27211,25450,3770125,1694803,Free,Free,652,4649,127.77999877929688
Las Vegas           NV,Kansas City         MO,1.3899999856948853,0,Yes,Yes,2844.239990234375,24575,25450,1197234,1694803,Free,Free,1140,8309,78.23999786376953
Los Angeles         CA,Kansas City         MO,1.309999942779541,2,No,Yes,1843.52001953125,24706,25450,9056076,1694803,Free,Free,1365,7959,116.0
Albuquerque         NM,Las Vegas           NV,1.0800000429153442,0,Yes,Yes,7641.72998046875,22089,24575,668159,1197234,Free,Free,479,7170,72.43000030517578
Atlanta             GA,Las Vegas           NV,1.440000057220459,3,Yes,No,4112.43994140625,26993,24575,3532657,1197234,Free,Free,1744,7881,143.6199951171875
Austin              TX,Las Vegas           NV,1.350000023841858,3,Yes,Yes,3757.25,23665,24575,1038660,1197234,Free,Free,1087,5738,80.30999755859375
Boston              MA,Las Vegas           NV,1.4900000095367432,3,Yes,No,1833.949951171875,30124,24575,5787293,1197234,Free,Free,2372,10235,133.35000610351562
Burbank             CA,Las Vegas           NV,1.0,3,Yes,Yes,9592.990234375,24706,24575,9056076,1197234,Free,Free,226,16845,52.91999816894531
Chicago             IL,Las Vegas           NV,1.149999976158142,3,Yes,Yes,2044.2099609375,29260,24575,7830332,1197234,Controlled,Free,1519,23739,123.73999786376953
Chicago             IL,Las Vegas           NV,1.149999976158142,3,Yes,Yes,2044.2099609375,29260,24575,7830332,1197234,Free,Free,1519,23739,123.73999786376953
Cleveland           OH,Las Vegas           NV,1.3600000143051147,0,Yes,Yes,4070.449951171875,26046,24575,2230955,1197234,Free,Free,1831,4543,159.1199951171875
Columbus            OH,Las Vegas           NV,1.4199999570846558,3,Yes,No,4956.580078125,24502,24575,125722,1197234,Free,Free,1769,7231,115.83999633789062
Dallas/Fort Worth   TX,Las Vegas           NV,1.159999966621399,3,Yes,No,4446.509765625,28637,24575,3036732,1197234,Free,Free,1052,6986,164.8800048828125
Denver              CO,Las Vegas           NV,1.1299999952316284,3,Yes,No,3760.10009765625,29055,24575,1862106,1197234,Free,Free,618,10206,89.47000122070312
Detroit             MI,Las Vegas           NV,1.190000057220459,3,Yes,No,5307.27001953125,26506,24575,4459144,1197234,Free,Constrained,1756,6675,163.77999877929688
Houston             TX,Las Vegas           NV,1.1799999475479126,3,Yes,Yes,3690.1298828125,27211,24575,3770125,1197234,Free,Free,1222,9632,112.98999786376953
Los Angeles         CA,Las Vegas           NV,1.0,0,Yes,Yes,2522.010009765625,24706,24575,9056076,1197234,Free,Free,238,51358,55.56999969482422
Los Angeles         CA,Las Vegas           NV,1.0,0,Yes,Yes,2522.010009765625,24706,24575,9056076,1197234,Free,Free,238,51358,55.56999969482422
Dallas/Fort Worth   TX,Little Rock         AR,1.0,3,No,Yes,5293.0498046875,28637,22726,3036732,547633,Free,Free,308,10451,59.77000045776367
Albuquerque         NM,Los Angeles         CA,1.090000033378601,3,No,Yes,4935.72021484375,22089,24706,668159,9056076,Free,Free,673,11980,76.79000091552734
Atlanta             GA,Los Angeles         CA,1.3799999952316284,3,No,No,5465.97998046875,26993,24706,3532657,9056076,Free,Free,1946,13365,225.55999755859375
Boston              MA,Los Angeles         CA,1.350000023841858,3,No,No,2902.43994140625,30124,24706,5787293,9056076,Free,Free,2605,14737,301.7900085449219
Chicago             IL,Los Angeles         CA,1.190000057220459,3,No,No,3413.419921875,29260,24706,7830332,9056076,Controlled,Free,1751,29771,233.77999877929688
Chicago             IL,Los Angeles         CA,1.190000057220459,3,No,No,3413.419921875,29260,24706,7830332,9056076,Free,Free,1751,29771,233.77999877929688
Cleveland           OH,Los Angeles         CA,1.559999942779541,3,No,No,3300.080078125,26046,24706,2230955,9056076,Free,Free,2062,4531,231.97000122070312
Columbus            OH,Los Angeles         CA,1.9199999570846558,3,No,No,1550.1600341796875,24502,24706,125722,9056076,Free,Free,1996,3542,179.22999572753906
Dallas/Fort Worth   TX,Los Angeles         CA,1.2000000476837158,3,No,No,5976.02001953125,28637,24706,3036732,9056076,Free,Free,1234,9746,272.05999755859375
Denver              CO,Los Angeles         CA,1.100000023841858,3,No,No,6589.490234375,29055,24706,1862106,9056076,Free,Free,854,20889,129.8000030517578
Detroit             MI,Los Angeles         CA,1.5199999809265137,3,No,No,4289.77978515625,26506,24706,4459144,9056076,Free,Constrained,1988,6758,295.489990234375
Fort Lauderdale     FL,Los Angeles         CA,1.2699999809265137,3,Yes,No,3472.169921875,26752,24706,1440377,9056076,Free,Free,2341,4719,193.5
Houston             TX,Los Angeles         CA,1.2699999809265137,3,No,Yes,3942.830078125,27211,24706,3770125,9056076,Free,Free,1379,11760,195.27999877929688
Atlanta             GA,Louisville          KY,1.0399999618530273,3,No,No,5450.85009765625,26993,24307,3532657,989164,Free,Free,320,4562,101.68000030517578
Baltimore/Wash Intl MD,Louisville          KY,1.1299999952316284,3,No,Yes,4655.18017578125,29838,24307,29838,989164,Free,Free,495,6218,60.2599983215332
Chicago             IL,Louisville          KY,1.0199999809265137,3,No,Yes,4109.8701171875,29260,24307,7830332,989164,Controlled,Free,276,8793,68.05999755859375
Chicago             IL,Louisville          KY,1.0199999809265137,3,No,Yes,4109.8701171875,29260,24307,7830332,989164,Free,Free,276,8793,68.05999755859375
Dallas/Fort Worth   TX,Lubbock             TX,1.0,3,No,Yes,6337.2001953125,28637,20980,3036732,231325,Free,Free,283,9446,60.869998931884766
Atlanta             GA,Memphis             TN,1.0099999904632568,3,No,No,4988.830078125,26993,24725,3532657,1074558,Free,Free,331,10255,70.62000274658203
Atlanta             GA,Miami               FL,1.0099999904632568,1,Yes,No,4343.35009765625,26993,21207,3532657,2105604,Free,Free,595,14119,97.93000030517578
Boston              MA,Miami               FL,1.2400000095367432,3,Yes,No,4133.35009765625,30124,21207,5787293,2105604,Free,Free,1259,7322,158.5
Chicago             IL,Miami               FL,1.149999976158142,3,Yes,No,3947.239990234375,29260,21207,7830332,2105604,Controlled,Free,1187,10671,168.9199981689453
