"Country.Code","Country.Name","X1961","X1962","X1963","X1964","X1965","X1966","X1967","X1968","X1969","X1970","X1971","X1972","X1973","X1974","X1975","X1976","X1977","X1978","X1979","X1980","X1981","X1982","X1983","X1984","X1985","X1986","X1987","X1988","X1989","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","Spending1995","Spending1996","Spending1997","Spending1998","Spending1999","Spending2000","Spending2001","Spending2002","Spending2003","Spending2004","Spending2005","Spending2006","Spending2007","Spending2008","Spending2009","Spending2010","Spending2011","Spending2012","Spending2013","Region","IncomeGroup"
"BDI","Burundi",41.54546341,41.86039024,42.17780488,42.49221951,42.79014634,43.05507317,43.28002439,43.46797561,43.62743902,43.78192683,43.95992683,44.18546341,44.47197561,44.8194878,45.22141463,45.65973171,46.10590244,46.53492683,46.93134146,47.29165854,47.62446341,47.93480488,48.21926829,48.45990244,48.61378049,48.62895122,48.48739024,48.19658537,47.7885122,47.32914634,46.9014878,46.58043902,46.41743902,46.43092683,46.60729268,46.9035122,47.2505122,47.59280488,47.91280488,48.20802439,48.49492683,48.80356098,49.15695122,49.55809756,50.007,50.49960976,51.02146341,51.55658537,52.09407317,52.62402439,53.13656098,8.79418493,7.47235167,7.6485401,7.95617575,6.91081478,6.69339224,6.55286792,6.31438552,5.85907127,8.7987984,14.52504346,18.35182855,16.32779349,14.68895397,13.85158896,19.41435144,21.31851065,20.91510936,21.46176493,"Sub-Saharan Africa","Low income"
"BEL","Belgium",70.52097561,70.2195122,70.05146341,70.75512195,70.62536585,70.70634146,71.01292683,70.69317073,70.76487805,70.97195122,71.0604878,71.40512195,71.63536585,71.98585366,71.97121951,72.1197561,72.77390244,72.69804878,73.19365854,73.20707317,73.62170732,73.88804878,73.86902439,74.40487805,74.5202439,74.73170732,75.36585366,75.56585366,75.63268293,76.05195122,76.19219512,76.35121951,76.34536585,76.69170732,76.84073171,77.18731707,77.37073171,77.47317073,77.6195122,77.72195122,77.97317073,78.07560976,78.12926829,78.87804878,78.9804878,79.3804878,79.78292683,79.6804878,79.98292683,80.23414634,80.48536585,2137.80966865,2150.82765724,1907.11128333,1977.76610442,2012.6854154,1845.3381169,1878.36700105,2075.07377086,2903.78537489,3366.03166282,3485.2792764,3645.7248338,4179.17263393,4729.76442708,4689.29366311,4589.87800294,4951.49981138,4742.2832842,5092.60121125,"Europe & Central Asia","High income: OECD"
"BEN","Benin",37.73119512,38.18941463,38.65734146,39.13685366,39.63273171,40.1482439,40.68082927,41.22812195,41.7857561,42.35,42.91673171,43.47980488,44.0334878,44.5724878,45.08690244,45.56514634,46.01004878,46.42792683,46.82926829,47.23458537,47.66892683,48.15034146,48.68831707,49.28278049,49.93468293,50.63846341,51.36902439,52.09673171,52.79346341,53.42,53.93570732,54.32702439,54.59497561,54.75007317,54.81595122,54.83180488,54.84231707,54.89014634,54.99878049,55.1882439,55.4664878,55.81431707,56.20807317,56.63317073,57.06697561,57.48687805,57.87387805,58.216,58.5067561,58.74668293,58.94490244,17.0096096,17.53350938,15.37493442,16.44746904,16.93669606,14.72882042,16.32549152,16.18550845,21.48840567,23.32444271,25.21299758,26.47113839,28.77532771,31.01606824,31.50703937,32.3435893,36.69590821,37.268107,36.69098425,"Sub-Saharan Africa","Low income"
"BFA","Burkina Faso",34.93863415,35.40587805,35.87965854,36.35895122,36.8377561,37.30904878,37.76831707,38.21653659,38.65773171,39.09687805,39.5385122,39.99517073,40.48034146,41.00658537,41.60639024,42.31329268,43.1302439,44.03978049,45.01339024,45.99756098,46.92831707,47.74963415,48.422,48.92436585,49.25121951,49.41753659,49.47226829,49.46290244,49.41987805,49.36560976,49.31646341,49.27795122,49.25965854,49.27770732,49.34431707,49.46929268,49.64782927,49.87607317,50.15456098,50.4827561,50.85807317,51.2727561,51.71756098,52.18278049,52.65870732,53.13968293,53.61968293,54.09419512,54.55768293,55.0067561,55.4404878,11.36432431,12.57089637,11.56398284,13.21142746,14.06846105,11.54203884,11.63118636,13.40502386,18.63257658,23.95488948,27.97832318,27.67673481,31.5343639,38.64378005,41.05828944,41.43218675,40.97182412,39.98532933,45.68480052,"Sub-Saharan Africa","Low income"
"BGD","Bangladesh",47.60890244,48.20156098,48.77631707,49.29304878,49.6497561,49.73304878,49.50963415,49.01021951,48.31085366,47.5845122,47.05068293,46.8792439,47.16617073,47.91995122,49.06163415,50.4342439,51.82485366,53.067,54.08868293,54.86892683,55.44319512,55.9184878,56.38121951,56.85841463,57.36304878,57.89512195,58.43317073,58.96314634,59.48758537,60.0084878,60.53182927,61.06214634,61.60041463,62.14517073,62.69387805,63.24207317,63.7837561,64.31343902,64.82658537,65.31973171,65.79034146,66.23990244,66.67092683,67.08597561,67.48956098,67.88726829,68.28314634,68.68070732,69.08192683,69.48580488,69.89180488,11.1189743,11.24924942,8.45283814,8.54611826,8.86107608,9.05065324,9.57052419,10.27460596,10.80218157,11.92708522,12.41791943,13.50581614,15.2556323,17.62900088,19.8729368,23.21265948,25.49747146,25.67120185,31.63443186,"South Asia","Lower middle income"
"BGR","Bulgaria",70.19560976,69.49195122,70.30926829,71.12121951,71.29390244,71.22341463,70.41390244,71.22512195,70.43,71.25634146,70.87365854,70.8995122,71.34219512,71.20804878,71.0497561,71.39487805,70.81609756,71.18463415,71.30829268,71.15756098,71.57195122,71.18609756,71.38634146,71.4997561,71.22804878,71.73073171,71.52682927,71.60439024,71.72243902,71.64146341,71.56097561,71.49439024,71.34682927,71.20878049,71.05341463,70.89731707,70.35121951,71.06097561,71.41219512,71.66341463,71.76829268,71.86585366,72.06585366,72.56341463,72.56097561,72.61219512,72.66341463,72.96341463,73.41219512,73.51219512,74.16341463,81.41173968,55.14078977,63.65210878,82.47075218,96.08669496,97.44098955,125.48982672,153.55159473,199.72694037,237.02615273,272.03512636,296.62434524,378.9666806,480.74959887,470.06889443,487.52086456,534.29140383,519.56756867,555.01979632,"Europe & Central Asia","Upper middle income"
"BHR","Bahrain",53.4585122,54.81826829,56.14658537,57.42587805,58.64007317,59.78312195,60.858,61.86973171,62.81729268,63.69919512,64.5174878,65.27770732,65.98641463,66.64660976,67.26382927,67.83956098,68.37778049,68.87897561,69.34560976,69.77865854,70.17658537,70.53736585,70.864,71.16,71.42787805,71.67168293,71.89595122,72.10570732,72.30797561,72.5072439,72.7095122,72.91473171,73.12390244,73.3375122,73.55507317,73.77304878,73.987,74.19541463,74.39582927,74.5892439,74.77670732,74.96021951,75.1407561,75.31880488,75.49231707,75.66073171,75.823,75.97660976,76.12404878,76.26485366,76.40204878,502.11349196,497.74592783,541.17511286,489.10899606,495.57164566,475.89905421,487.55094807,509.98457935,536.44717154,539.46732597,573.01969994,598.7858286,647.66785942,726.65755959,728.5424675,747.3295196,765.61863106,919.50472437,1067.20269331,"Middle East & North Africa","High income: nonOECD"
"BHS","Bahamas",63.0725122,63.40802439,63.73704878,64.05909756,64.37468293,64.68378049,64.98739024,65.28502439,65.57668293,65.86385366,66.14556098,66.42226829,66.693,66.9587561,67.22002439,67.47631707,67.72812195,67.97495122,68.21878049,68.45860976,68.69541463,68.92968293,69.16046341,69.3872439,69.61060976,69.82909756,70.04278049,70.24965854,70.44778049,70.63065854,70.79180488,70.92963415,71.04814634,71.15480488,71.26256098,71.39043902,71.54987805,71.74787805,71.98436585,72.25429268,72.54509756,72.84126829,73.12729268,73.39465854,73.63887805,73.85895122,74.05946341,74.24743902,74.42390244,74.59239024,74.75490244,838.7787895,879.87083947,959.91912008,1031.48044673,1072.99568569,1106.76755363,1106.77711589,1183.31437133,1236.9552854,1325.69900744,1394.28108895,1645.35045974,1720.85950279,1728.91637505,1639.55002162,1626.23463155,1651.99341604,1618.10976394,1620.67682991,"Latin America & Caribbean","High income: nonOECD"
"BIH","Bosnia and Herzegovina",60.94158537,61.56797561,62.16234146,62.73368293,63.292,63.84485366,64.39729268,64.94985366,65.5044878,66.06163415,66.62121951,67.17514634,67.71339024,68.22692683,68.70026829,69.11690244,69.47292683,69.76795122,70.00758537,70.23295122,70.49885366,70.82329268,71.18973171,71.55273171,71.76053659,71.62378049,71.05958537,70.08173171,68.792,67.44639024,66.37626829,65.84321951,65.99378049,66.83346341,68.22926829,69.93512195,71.62219512,73.03295122,74.05956098,74.66917073,74.92109756,74.98714634,75.0104878,75.04107317,75.11239024,75.23095122,75.3704878,75.51097561,75.65587805,75.80668293,75.96241463,50.92806763,80.43281925,85.38978785,92.91228434,111.11490301,103.40604907,108.27442684,122.04473265,174.33838875,236.28129754,245.81079193,275.03169977,341.33864414,424.54583773,440.33501574,427.45797252,471.24575568,446.11185334,448.7593504,"Europe & Central Asia","Upper middle income"
"BLR","Belarus",68.21265854,68.63582927,68.99207317,69.28992683,69.53741463,69.73460976,69.88165854,69.98263415,70.04514634,70.0792439,70.093,70.09241463,70.08243902,70.06807317,70.04826829,70.01590244,69.96741463,69.90631707,69.84163415,69.80202439,69.81917073,69.90821951,70.06465854,70.27192683,70.99268293,71.5495122,70.9902439,71.34146341,71.58780488,70.83658537,70.37804878,70.02195122,68.97073171,68.76829268,68.46097561,68.61219512,68.46097561,68.40731707,67.90731707,68.91219512,68.50731707,68.05609756,68.55365854,68.95609756,68.85121951,69.40487805,70.20341463,70.45609756,70.40731707,70.40487805,70.65121951,69.70769399,89.02799276,91.83219436,89.94658924,74.55472169,74.74479373,81.9901852,95.49013656,119.45298935,156.85077228,215.33635324,243.51700553,304.05667147,377.94342578,312.61397748,322.57821191,294.27276458,339.03340443,462.8784385,"Europe & Central Asia","Upper middle income"
"BLZ","Belize",60.51278049,61.07434146,61.64604878,62.22482927,62.80612195,63.38534146,63.95439024,64.50770732,65.03919512,65.54626829,66.02631707,66.48090244,66.91209756,67.324,67.7187561,68.10209756,68.47814634,68.84702439,69.2087561,69.56636585,69.9197561,70.26426829,70.58926829,70.88317073,71.12692683,71.29853659,71.38802439,71.39436585,71.323,71.1812439,70.98195122,70.75004878,70.51660976,70.3047561,70.14468293,70.06214634,70.06192683,70.14378049,70.30639024,70.53904878,70.82443902,71.13695122,71.45339024,71.7594878,72.04631707,72.31236585,72.56373171,72.80770732,73.0432439,73.2704878,73.48780488,127.19663723,109.63767426,117.37008933,116.1722309,115.85393651,138.60446815,160.07997439,162.21955261,173.75086636,175.30327265,182.43742875,192.02325652,214.65131498,237.49276398,257.63146333,264.66122102,263.53213766,259.45812504,262.41785015,"Latin America & Caribbean","Upper middle income"
"BMU","Bermuda",NA,NA,NA,NA,68.89780488,NA,NA,NA,NA,70.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.30463415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.0295122,NA,NA,NA,NA,NA,NA,NA,NA,77.86487805,NA,NA,NA,NA,78.57670732,78.71907317,78.86143902,79.00380488,79.14617073,79.28853659,79.28853659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North America","High income: nonOECD"
"BOL","Bolivia",42.97687805,43.28914634,43.60341463,43.92117073,44.23641463,44.54312195,44.84078049,45.13641463,45.43956098,45.76626829,46.13563415,46.56017073,47.05041463,47.60787805,48.23297561,48.92019512,49.65292683,50.41363415,51.18980488,51.96843902,52.74312195,53.50836585,54.26021951,54.98965854,55.69212195,56.36504878,57.01036585,57.6295122,58.21943902,58.77858537,59.30241463,59.79297561,60.25178049,60.68290244,61.09087805,61.48029268,61.85721951,62.22621951,62.59182927,62.95460976,63.31553659,63.67160976,64.02026829,64.3635122,64.70078049,65.03309756,65.36190244,65.68570732,66.00546341,66.31970732,66.62692683,39.31265471,43.8514779,43.92460337,53.17327428,61.6869922,60.05993882,59.27457375,58.36911596,49.92825379,50.9549961,56.95794213,57.72876657,63.6667254,83.60356692,100.02745656,105.82403078,115.42063928,148.74193298,173.92383878,"Latin America & Caribbean","Lower middle income"
"BRA","Brazil",55.16963415,55.63309756,56.08,56.51029268,56.92387805,57.32319512,57.7117561,58.09460976,58.47529268,58.85697561,59.24436585,59.63753659,60.0355122,60.43819512,60.83978049,61.23543902,61.62039024,61.9925122,62.35382927,62.70604878,63.05646341,63.4104878,63.77392683,64.14792683,64.53253659,64.92614634,65.32353659,65.72207317,66.11921951,66.515,66.90997561,67.30573171,67.70080488,68.09465854,68.48273171,68.86195122,69.23121951,69.58746341,69.92968293,70.25739024,70.56965854,70.86956098,71.15960976,71.44178049,71.71853659,71.99178049,72.26290244,72.53387805,72.80417073,73.07531707,73.34736585,315.97358202,349.82576783,355.35450137,335.52377107,241.90181121,264.68837822,227.63208158,202.9457334,213.50829651,257.20291821,396.2058689,492.00789795,608.40115557,727.9840576,744.06417416,988.92990212,1153.72020147,1078.00009274,1084.57868909,"Latin America & Caribbean","Upper middle income"
"BRB","Barbados",61.22963415,61.68163415,62.12260976,62.55309756,62.97307317,63.38253659,63.7825122,64.1724878,64.55446341,64.92743902,65.29141463,65.64787805,65.99585366,66.33731707,66.67026829,66.99621951,67.31414634,67.62507317,67.92897561,68.22587805,68.51629268,68.80070732,69.07960976,69.35202439,69.61895122,69.88136585,70.13780488,70.38870732,70.63412195,70.87453659,71.10943902,71.33934146,71.5642439,71.78514634,72.00104878,72.21243902,72.41982927,72.62373171,72.82360976,73.0194878,73.21287805,73.4017561,73.58765854,73.77004878,73.94895122,74.12482927,74.29721951,74.46758537,74.63543902,74.80178049,74.96714634,450.53483556,465.60041533,494.77336115,531.32042054,570.15813988,601.87507017,634.75601574,677.38425335,702.32795816,736.5520637,764.9748046,825.68697954,927.88031473,995.50975794,1024.94861745,978.0542928,1005.497999,1009.13832796,1007.21549623,"Latin America & Caribbean","High income: nonOECD"
"BRN","Brunei Darussalam",63.03609756,63.594,64.1267561,64.63390244,65.11595122,65.57543902,66.01739024,66.44687805,66.86641463,67.2764878,67.67812195,68.07078049,68.45243902,68.82412195,69.18680488,69.541,69.88570732,70.22241463,70.55065854,70.87190244,71.18565854,71.49192683,71.79121951,72.0845122,72.37031707,72.65112195,72.92595122,73.19429268,73.45814634,73.7164878,73.96934146,74.21668293,74.45902439,74.69636585,74.92970732,75.15802439,75.38236585,75.60221951,75.81858537,76.03095122,76.23880488,76.44263415,76.6424878,76.83931707,77.03268293,77.22460976,77.41609756,77.60619512,77.79787805,77.98865854,78.18102439,472.87608436,626.53608969,623.29714294,566.25679118,580.38402955,543.43193622,525.01802749,525.858593,574.83129904,657.82176241,671.41210724,680.287436,738.1371667,820.58372564,766.30796576,844.0727216,922.16503362,946.19610479,973.55980137,"East Asia & Pacific","High income: nonOECD"
"BTN","Bhutan",32.73102439,33.09414634,33.45221951,33.8157561,34.20073171,34.62665854,35.10702439,35.65134146,36.26309756,36.94229268,37.68441463,38.4714878,39.2874878,40.11941463,40.95429268,41.78258537,42.60082927,43.406,44.19363415,44.96170732,45.71073171,46.4472439,47.17721951,47.90665854,48.63907317,49.38143902,50.1337561,50.8984878,51.67568293,52.46431707,53.26241463,54.0644878,54.86556098,55.66360976,56.45465854,57.23770732,58.0127561,58.77929268,59.53780488,60.29080488,61.0447561,61.80019512,62.55412195,63.3005122,64.02641463,64.71831707,65.36573171,65.96268293,66.50768293,67.00468293,67.46073171,22.8442782,38.04856853,50.30467013,49.74897226,51.4905143,52.2768137,50.7275577,70.74812938,51.04597434,48.86175631,66.47686997,71.0632863,103.51123809,114.38905608,100.20007349,114.39934512,119.96005822,90.48302676,89.74884249,"South Asia","Lower middle income"
