,Course Number,Course Title,Course Description,Terms,Units,Instructors
10,ACCT 516:,Analysis and Valuation of Emerging Market Firms,"This course examines the unique institutional, governance, and transparency issues affecting corporate valuations in emerging markets. Through lectures, case discussions and the students' real-time analysis of an emerging market firm, this condensed course is structured for students to gain a deeper understanding of the economic pressures behind the value creation, value destruction, and valuation process in emerging economies. The course focuses on critically interpreting financial and non-financial information for purposes of assessing firm fundamentals and risk in the presence of weak legal systems, strong political forces, limited investor protections, limited market development, strong macro-economic forces, opacity, and resultant business arrangements. The course is beneficial for investors, consultants, managers, and entrepreneurs operating in or considering expansion to developing markets.",Spr,2,"; Piotroski, J. (PI); Woodhall, E. (GP)"
11,ACCT 523:,Board Governance,"This course is focused on helping students understand the role boards and board members play in corporate governance and the lives of businesses large and small. This case-driven course is designed to help students who plan to serve on boards as private-equity or venture investors, entrepreneurs who will need to assemble and manage boards, and executives who realize they will need to interact with and answer to boards. The course is designed to help students understand the issues boards face both routine and non-routine through the eyes of the board member. By understanding the roles and responsibilities of board members and the mechanisms though which they exercise these duties, students will come away with an understanding of how boards function effectively (and in too many cases fail to function effectively). The course will include examining boards in a variety of contexts with a focus on three types of situations:  public for-profit companies, early-stage private companies, and not-for-profit companies of different sizes.",Last offered: Winter 2022,2,
12,ACCT 533:,Taxes and Business Strategy,"Taxes have a direct impact on cash flow and often divert 20% to 40% of the firm's pretax cash flow to the government, making the government one of the largest stakeholders. Taxes also affect a wide variety of business decisions, including the efficient formation of businesses, operational planning across jurisdictions with competing tax regimes, M&A tax structure, the creation of cash and equity compensation plans, and retirement planning (to name a few).  This course first provides a conceptual framework for incorporating taxation into business decisions, linking concepts from accounting, corporate finance, business law, and economics. The course then provides real-world examples to illustrate the impact of tax considerations on earnings and cash flows.  The goal of this course is to provide a foundational understanding of tax consequences and trade-offs that can be adapted across jurisdictions and as tax laws change.",Last offered: Winter 2014,0,
13,ACCT 609:,Empirical Capital Markets Research in Accounting,"This doctoral-level course provides an introduction to empirical accounting research on the effects of accounting information in capital markets. Topics include the returns/earnings relation, value relevance, market efficiency, anomalies and mispricing, disclosure processing frictions, and the roles of intermediaries. Readings include classic and contemporary studies, primarily focusing on empirical analysis of archival data.",Win,3,"; deHaan, E. (PI); Oseguera, J. (GP)"
14,ACCT 610:,Seminar in Empirical Accounting Research,"Empirical Research on Corporate Reporting: This doctoral-level course covers research on the role of financial and non-financial information in capital and labor markets. The focus is on introducing students to key themes in empirical accounting and capital markets research, and to key research designs applied to examine information-related questions. Course topics include the informational role of financial reports, accounting measurement attributes, earnings management, earnings quality, environmental, social, and governance-related disclosures and the role of key actors in the reporting environment, including management, investors, auditors, analysts, employees, and regulators. The course is interdisciplinary in nature. The readings focus on research design, and key theories, themes and approaches from the accounting, finance, economics, and psychology literature. Our overall goal is develop your understanding of existing research and its strengths and limitations, and to identify new research opportunities.",Spr,3,"; Choi, J. (PI); McCool, T. (GP)"
15,ACCT 611:,Disclosure and Financial Markets,"This course provides a broad overview of the economic theories of corporate disclosure, with a focus on the effects that these disclosures have on financial markets. The range of topics we will study includes: voluntary disclosure, earnings management, cheap talk, reputation games, and disclosure's impact on trade, investor welfare, and asset prices.",Spr,3,"; Smith, K. (PI); Long, M. (GP)"
16,ACCT 612:,Financial Reporting Seminar,"The purpose of this PhD seminar is to facilitate your conception and execution of substantive individual research in financial reporting. It provides a vehicle for supplementing and integrating your knowledge of basic research tools and methods, as well as an exposure to the dimensions of contemporary research in the field of financial reporting. The focus of the research we will discuss in this seminar is on global financial reporting. Such research encompasses studies dealing with contemporary financial reporting issues as well as research addressing issues relating to the globalization of financial reporting. Because these issues are also of concern to financial reporting standard setters, we will discuss whether and how the research we study informs standard setting debates. Prerequisite: Consent of the instructor.",Aut,3,
17,ACCT 615:,Selected Topics in Empirical Accounting Research,"This course examines selected topics in accounting research.  The course features three faculty who will each give a focused look at a given area, introduce students to important questions in that area, key papers in the related literature, and critical aspects of the research designs applied in the area.  The aim is to increase student's familiarity with empirical accounting research, their ability to critically evaluate research and research designs, and to prepare students to conduct independent research.",Spr,3,"; Kasznik, R. (PI); Rivera, S. (GP)"
18,ACCT 617:,Applications of Contract Theory in Accounting Research,"This course develops tools from information economics to study the strategic interactions between different agents inside a firm. Common to these studies is that agents acquire private information that is valuable to other parties. The range of applications includes: centralization vs delegation, static and dynamic contracting under moral hazard, Bayesian persuasion, and the optimal design of monitoring/auditing mechanisms.",Spr,3,"; Marinovic, I. (PI); Smeton, K. (GP)"
19,ACCT 618:,Market Efficiency and Informational Arbitrage,"The informational efficiency of stock markets has been a central theme in financial economic research in the past 50 years. Over this period, the focus of academic research has gradually shifted from the general to the more specific. While earlier studies tend to view the matter as a yes/no debate, most recent studies acknowledge the impossibility of fully efficient markets, and focus instead on analyses of factors that materially affect the timely incorporation of information into prices. At the same time, increasing attention is being paid to regulatory and market design issues that either impede or enhance market pricing efficiency.nIn this course, we will cover recent research on the role of informational arbitrage in asset pricing. Our starting point is the observation that, with costly information, equilibrium prices will invariably reflect some mispricing. The existence of mispricing introduces a role for informational arbitrage, whereby some traders will invest resources to become informed about the mispricing, with hopes of profiting from it. We review recent academic evidence on this process, and reflect on its implications for future market-related research. We will also discuss how academic research might help lower information/arbitrage costs.nThis is a doctoral level course. Our goal is not only to review existing research, but also to stimulate new work in the area. As such, I expect it will be of primary interest to Ph.D. students majoring in accounting, finance, and economics. Given our focus on returns prediction and the role of information in arbitrage strategies, this course should be of particular interest to those interested exploring the relation between information flows and market pricing dynamics. nThe course content is interdisciplinary in nature, spanning finance, economics, and accounting. Most of the readings in the earlier readings derive from finance and economics (market efficiency, limits to arbitrage, and behavioral finance); most of the later readings derive from financial accounting (equity valuation, fundamental analysis, earnings management, and analyst behavior).",Last offered: Winter 2021,3,
20,ACCT 620:,PhD Accounting Research Lab,"The main goal of the PhD Accounting Research Lab is to help Ph.D. students transition from coursework to research and to make progress on developing their dissertations. Students actively work on a research project throughout the year, regularly present their updates, receive feedback from faculty and students, and provide feedback to each other. Secondary goals are to help PhD students learn to present and critique research.","Aut, Win, Spr",1,"; Lester, R. (PI); Kepler, J. (SI); Abaya, S. (GP); Long, M. (GP)"
21,ACCT 691:,"PhD Directed Reading (FINANCE 691, GSBGEN 691, HRMGT 691, MGTECON 691, MKTG 691, OB 691, OIT 691, POLECON 691, STRAMGT 691)","This course is offered for students requiring specialized training in an area not covered by existing courses. To register, a student must obtain permission from the faculty member who is willing to supervise the reading.","Aut, Win, Spr, Sum",1-15,"; Armstrong, C. (PI); Beyer, A. (PI); Choi, J. (PI); Foster, G. (PI); Gipper, B. (PI); Kasznik, R. (PI); Kepler, J. (PI); Kim, J. (PI); Lester, R. (PI); Marinovic, I. (PI); McNichols, M. (PI); Noh, S. (PI); Piotroski, J. (PI); Smith, K. (PI); deHaan, E. (PI); Abaya, S. (GP); Molina, E. (GP); Oseguera, J. (GP); Rivera, S. (GP); Shaker, S. (GP); Woodhall, E. (GP)"
22,ACCT 692:,"PhD Dissertation Research (FINANCE 692, GSBGEN 692, HRMGT 692, MGTECON 692, MKTG 692, OB 692, OIT 692, POLECON 692, STRAMGT 692)","This course is elected as soon as a student is ready to begin research for the dissertation, usually shortly after admission to candidacy. To register, a student must obtain permission from the faculty member who is willing to supervise the research.","Aut, Win, Spr, Sum",1-15,"; Armstrong, C. (PI); Beyer, A. (PI); Choi, J. (PI); Foster, G. (PI); Gipper, B. (PI); Kasznik, R. (PI); Kepler, J. (PI); Kim, J. (PI); Lester, R. (PI); Marinovic, I. (PI); McNichols, M. (PI); Noh, S. (PI); Piotroski, J. (PI); Smith, K. (PI); deHaan, E. (PI); Abaya, S. (GP); Long, M. (GP); Molina, E. (GP)"
23,ACCT 698:,Doctoral Practicum in Teaching,Doctoral Practicum in Teaching,"Aut, Win, Spr, Sum",1,"; Armstrong, C. (PI); Beyer, A. (PI); Choi, J. (PI); Foster, G. (PI); Gipper, B. (PI); Kasznik, R. (PI); Kepler, J. (PI); Kim, J. (PI); Lester, R. (PI); Marinovic, I. (PI); Noh, S. (PI); Piotroski, J. (PI); Reichelstein, S. (PI); Smith, K. (PI); deHaan, E. (PI); Lion-Transler, C. (GP); Molina, E. (GP); Rivera, S. (GP)"
24,ACCT 699:,Doctoral Practicum in Research,Doctoral Practicum in Research,"Aut, Win, Spr, Sum",1,"; Armstrong, C. (PI); Beyer, A. (PI); Choi, J. (PI); Foster, G. (PI); Gipper, B. (PI); Kasznik, R. (PI); Kepler, J. (PI); Kim, J. (PI); Lester, R. (PI); Marinovic, I. (PI); McNichols, M. (PI); Noh, S. (PI); Piotroski, J. (PI); Smith, K. (PI); deHaan, E. (PI); Abaya, S. (GP); Lion-Transler, C. (GP); Long, M. (GP); Molina, E. (GP); Oseguera, J. (GP); Rivera, S. (GP); Smeton, K. (GP); Woodhall, E. (GP)"
25,ACCT 802:,"TGR Dissertation (FINANCE 802, GSBGEN 802, HRMGT 802, MGTECON 802, MKTG 802, OB 802, OIT 802, POLECON 802, STRAMGT 802)",,"Aut, Win, Spr, Sum",0,"; Armstrong, C. (PI); Beyer, A. (PI); Choi, J. (PI); Foster, G. (PI); Gipper, B. (PI); Kasznik, R. (PI); Kepler, J. (PI); Kim, J. (PI); Lester, R. (PI); Marinovic, I. (PI); McNichols, M. (PI); Noh, S. (PI); Piotroski, J. (PI); Smith, K. (PI); deHaan, E. (PI); Molina, E. (GP); Shaker, S. (GP); Smeton, K. (GP); Woodhall, E. (GP)"
26,ALP 301:,Data-Driven Impact,"This is a team-based course where students will work on a project to improve a product using data and experimentation. We will cover key considerations for designing and executing high-quality research for product innovation to drive business outcomes and social impact. Students will have the opportunity to apply methods from machine learning and causal inference to a real-world scenario provided by a partner organization. Topics include designing research and experiments, data analysis, experimental and non-experimental methods for estimating the impact of product features, as well as management consideration for the delivery of actionable research. The course involves three weekly meetings: two lectures and one lab. Lectures will focus on research methods and will provide examples of research outputs for students to discuss and evaluate. Labs will comprise technical training in data analysis and structured team meetings. Students will work in cross-functional teams of 5-6 with milestones throughout the quarter. The final deliverable will be a presentation that highlights the team's work and delivers actionable recommendations that draw from the team's research. The class will include a mix of students with different backgrounds and skills. Each team will have at least one member with significant experience with data analysis. This course is part of the GSB's new Action Learning Program, in which you will work on real business challenges under the guidance of faculty.  In this intensive project-based course, you will: Learn research-validated foundations, tools, and practices, Apply these tools and learnings to a real project for an external organization, Create value for the organization by providing insights and deliverables, Be an ambassador to the organization by exposing them to the talent, values, and expertise of the GSB. You will also have the opportunity to: Gain practical industry experience and exposure to the organization, its industry, and the space in which it operates, Build relationships in the organization and industry, and gain an understanding of related career paths. Prerequisites: Some experience with statistical analysis and the R statistical package. Students with less experience will have an opportunity to catch up through tutorials provided through the course. Non-GSB students are expected to have an advanced understanding of tools and methods from data science and machine learning as well as a strong familiarity with R, Python, SQL, and other similar high-level programming languages. (Cardinal Course certified by the Haas Center)",Last offered: Spring 2021,4,
27,ALP 302:,Designing Solutions for Wicked Problems,"The thrust of this course is on designing innovative solutions for wicked problems-problems requiring large-scale sustainable transformations in environments that tend to deeply favor the status-quo. The palette on which the course will anchor on is New Zealand, a country that I have, over the years, developed a deep relationship with. In my mind, New Zealand has always been one of the most innovative and progressive countries in the world, economically, socially and environmentally. This has come from a unique partnership between the government and the private sector, giving rise to several government enabled, private sector led initiatives. Students in this course will work with leaders and entities within New Zealand's primary sector, including key Maori business leaders/entities and the Ministries of Primary Sector and Trade. The projects with deeply integrated interdependencies will feature large-scale challenges that fall in the category of wicked problems. It will involve scaled interventions that will need to simultaneously satisfy economic, social and environmental needs. The course will give students as future leaders with an immersive experience of dealing with highly integrated and holistic solutions that are required to solve the wicked problem of large-scale sustainable transformations. This course is part of the GSB's Action Learning Program, in which you will work on real business challenges under the guidance of faculty. In this intensive project-based course, you will learn research-validated foundations, tools, and practices; apply these tools and learnings to a real project for an external organization; create value for the organization by providing insights and deliverables; and be an ambassador to the organization by exposing them to the talent, values, and expertise of the GSB. You will also have the opportunity to gain practical industry experience and exposure to the organization, its industry, and the space in which it operates; build relationships in the organization and industry; and gain an understanding of related career paths.",Last offered: Spring 2021,4,
28,ALP 303:,Analysis and Measurement of Impact,"This team-based course, part of the GSB's Action Learning Program, provides students the opportunity to work with organizations that are focused on achieving impact, including impact for-profits, investment funds, and evaluators. Topics include current trends and drivers in the impact space, frameworks for measuring impact, financial instruments and techniques for achieving impact, analysis of impact fundamentals, organizational structures for impact, and challenges in fundraising for impact businesses. Students work on projects to analyze impact investments including private equity and fixed income products, assess the financial viability of an impact business, develop equitable alternative risk assessment metrics, model the economic and social value of outcomes, and evaluate the impacts of an organization. This course provides real-world opportunities for students to learn research-validated foundations, tools, and practices; apply these tools and learnings to a real project for an external organization; create value for the organization by providing insights and deliverables; and be an ambassador to the organization by exposing them to the talent, values, and expertise of the GSB. Students also have the opportunity to gain practical industry experience and exposure to the organization, its industry, and the space in which it operates; build relationships in the organization and industry; and gain an understanding of related career paths.",Spr,4,"; Foroughi, J. (PI); Garcia, C. (GP)"
29,ALP 304:,Digital Marketing,"In this course, students work with businesses to help them develop digital marketing strategies for growth. The businesses they work with are successful but have gaps in their digital strategy. This could range from the near absence of a digital presence to gaps in advertising and promotion using digital platforms. The typical business goal is to drive growth through new customer acquisition, serve new markets and customer segments, and develop existing customers. The course focuses on developing entrepreneurial skills in digital marketing and strategy and applying those skills to real-world companies looking to scale. The course is an Action Learning Program (ALP) course with a cadence of in-class meetings, workshops, meetings with clients and project advisors, and team meetings. In this intensive project-based course, you will learn research-validated foundations, tools, and practices and a scientific and data-oriented approach to making business decisions. You will apply these tools and learnings to a real project for an external organization, create value for the organization by providing insights and deliverables, and be an ambassador to the organization by exposing them to the talent, values, and expertise of the GSB. You will also gain practical industry experience and exposure to the organization, its industry, and the space in which it operates, build relationships in the organization and industry, and understand related career paths.",Aut,4,"; Narayanan, S. (PI); Davis, S. (GP)"
30,ALP 305:,Product Management,"In this experiential course, you will develop skills and experience required to be a Product Manager. The course covers important facets of the PM role at different stages in the product life cycle. You will learn and apply tools and methodologies for market research and product strategy (e.g. product requirements, market briefs), early stage execution (e.g. road maps, resource planning, project management), growth (e.g. operational and development practices), and late stage management. In parallel with classroom learning, student teams will work on quarter-long projects in collaboration with sponsor organizations. The nature of the projects and deliverables for each team will vary depending on the stage of the product and needs of the product teams. Projects will be sourced from tech companies; however, the learning from the course and projects can be transferred to other industries. This course is part of the GSB's Action Learning Program, in which you will work on real business challenges under the guidance of faculty.  In this intensive project-based course, you will learn research-validated foundations, tools, and practices; apply these tools and learnings to a real project for an external organization; create value for the organization by providing insights and deliverables; and be an ambassador to the organization by exposing them to the talent, values, and expertise of the GSB.  You will also have the opportunity to gain practical industry experience and exposure to the organization, its industry, and the space in which it operates; build relationships in the organization and industry; and gain an understanding of related career paths.",Last offered: Autumn 2023,4,
31,ALP 306:,Developing Growth Initiatives,"In this course, students will participate in projects with corporate or organizational sponsors to develop a growth initiative. This may include development or launch of new products, pricing strategy, or acquisition of customers through strategic partnerships, advertising campaigns or other ways of helping more customers enter or proceed through the conversion funnel. Together with project sponsors, students will engage in customer segmentation analysis, define positioning for target segments, and develop a growth initiative. The final course deliverable includes a proposal with an accompanying growth model for how to change the trajectory of profit- and/or mission-driven metrics. Projects range from purely profit driven to purely mission driven or a combination of the two. Past projects have included the launch of new beverages, partner strategies for marketing a virtual reality sports game, distribution of a public media voter guide, international expansion for a company helping fast fashion reduce its carbon footprint, and the sale of solar solutions to customers in African countries relying on diesel generators during power outages. This course is well-suited for students interested in entrepreneurship, product management, roles that bridge strategy with performance goals, and marketing positions involving communication, product, and pricing strategies. This course is part of the GSB's Action Learning Program, in which students tackle real business challenges under the guidance of faculty. In this intensive, project-based course, students learn research-validated tools and practices; apply them to real projects for external organizations; and create value by delivering actionable insights and solutions. Additionally, students serve as GSB ambassadors, showcasing its talent, values, and expertise to sponsor organizations. Through this hands-on experience, students gain practical industry experience, build valuable relationships within the organization and industry, and explore related career paths.",Win,3,"; Hartmann, W. (PI); Lion-Transler, C. (GP)"
32,ALP 307:,Public Policy Lab: Urban Governance in US Cities,"Cities in the United States provide a great variety of services to citizens, including public safety, education, construction and maintenance of infrastructure and more. Across the country, the cost of these and other programs or policies amounted to more than $2.2 trillion in spending by local governments in 2021 according to the US Census. In this 10-week team-based Action Learning Program course, we will partner with 2 different cities with diverse populations. In groups, students will explore one of three local government finance issues in each city: infrastructure, economic development, and workforce development. Teams will assess the efficacy of the cities' existing strategies and propose data-driven, evidence-based recommendations for new policies to benefit all city residents. Students will have the opportunity to engage with an array of city officials and subject matter experts to aid in the preparation of reports that will be presented to local government officials.",Last offered: Winter 2024,4,
33,ALP 308:,Designing Experiments for Impact,"This is a team-based course where students will work on a project to design and carry out an experiment intended to drive social impact in collaboration with a partner organization. The first few weeks will include lectures, hands-on tutorials, and labs designed to guide students through the process of experimental design in the digital context. Special topics include designing and selecting outcome measures that capture the impact of interventions; multi-stage experiments with applications to chatbots; learning how treatment effects vary across subgroups; adaptive experiments using bandits and artificial intelligence; and estimation of policies that target treatments based on subject characteristics. Experiments may be conducted on the customer base of a partner organization through their digital applications or on recruited subjects, such as subjects recruited to interactive chatbots. The teaching team will provide templates and technical assistance for designing and running the experiments. Students from different disciplinary backgrounds will be assigned roles to work in teams on the project. This course is part of the GSB's Action Learning Program, in which you will work on real business challenges under the guidance of faculty. In this intensive project-based course, you will learn research-validated foundations, tools, and practices; apply these tools and learnings to a real project for an external organization; create value for the organization by providing insights and deliverables; and be an ambassador to the organization by exposing them to the talent, values, and expertise of the GSB. You will also have the opportunity to gain practical industry experience and exposure to the organization, its industry, and the space in which it operates; build relationships in the organization and industry; and gain an understanding of related career paths. Prerequisites: Some experience with statistical analysis and the R statistical package. Students with less experience will have an opportunity to catch up through tutorials provided through the course. Non-GSB students are expected to have an advanced understanding of tools and methods from data science and machine learning as well as a strong familiarity with R, Python, SQL, and other similar high-level programming languages. Cardinal Course certified by the Haas Center.",Last offered: Spring 2022,4,
34,FINANCE 201:,Finance,"This course covers the foundations of finance. While we emphasize applications that are vital for corporate managers, we cover topics that are of great importance to all investors making investment decisions. Essential in these decisions is the process of valuation, which will be a central theme throughout the course. Topics include criteria for making investment decisions, valuation of financial assets and liabilities, portfolio risk and return, and financing and capital structure choices. This course is designed to provide students who have had little prior exposure to finance with the tools necessary to estimate the value of a business enterprise or a financial investment decision.",Aut,3,"; Begenau, J. (PI); Grenadier, S. (PI); Koont, N. (PI); Kankolongo Ngoba, N. (GP); McCool, T. (GP); Oseguera, J. (GP)"
35,FINANCE 205:,Accelerated Managerial Finance,"This course covers the foundations of finance with an emphasis on applications that are vital for corporate managers. We will discuss many of the major financial decisions made by corporate managers, both within the firm and in their interactions with investors. Essential in most of these decisions is the process of valuation, which will be an important emphasis of the course. Topics include criteria for making investment decisions, valuation of financial assets and liabilities, relationships between risk and return, capital structure choice, payout policy, the use and valuation of derivative securities, and risk management. This course is targeted to those students who are new to finance and for those with little quantitative background. No previous background in finance is required or expected for this course. Content will be comparable to F201, but the majority of course lecture material will be delivered online, with in-class sessions devoted to applications of key concepts. This ""flipped classroom"" version of the course is intended for self-motivated students with an interest in applications. Prerequisite material for the course will be posted online in the fall.",Aut,3,"; Berk, J. (PI); Blank, M. (SI); Molina, E. (GP)"
36,FINANCE 207:,"Corporations, Finance, and Governance in the Global Economy","As executives, entrepreneurs, global leaders, and change agents tasked with developing transformative solutions of tomorrow, you will need certain skills and tools to interact with and navigate the complex and ever-changing financial landscape. This course focuses on the development of these skills and tools through the analysis of concise real-world financial situations around the globe. Topics include valuation of cash flows and control; the capital structure, payout policy and governance of both mature and entrepreneurial firms; restructuring and managing financial distress; the use of public markets to obtain liquidity and multiple share classes to retain control; financing and governance in venture capital and private equity; the rise of activism; and social responsibility and debates about the objectives of the firms of the present and future.",Win,3,"; Seru, A. (PI); Siegel, R. (SI); Bagalso, R. (GP); Flores-Solano, J. (GP)"
37,FINANCE 211:,"Corporate Finance: Applications, Techniques, and Models","This course will develop and apply the basic tools and models of corporate finance to real-world corporate decisions. This course is designed to be the second course in the standard finance sequence; that is, it is designed to be the natural follow-up to the Fall Finance course. This course will develop and extend standard tools and techniques of financial analysis, valuation, and model-building, and apply these methods to a wide range of cases. Case topics will include mergers and acquisitions, private equity, corporate governance, capital structure, agency conflicts, and corporate restructuring. For all of these applications, this course will emphasize the central importance of financial analysis, valuation, and modeling to guiding optimal decision making.",Win,3,"; Hebert, B. (PI); Kankolongo Ngoba, N. (GP)"
38,FINANCE 229:,MSx: Finance,"This course covers the foundations of finance with an emphasis on applications that are vital for corporate managers. We will consider many important financial decisions made by corporate managers, both within the firm and in their interactions with investors. Essential to most of these decisions are financial valuations, which will be an important emphasis of the course. Topics include criteria for making investment decisions, valuation of financial assets and liabilities, relationships between risk and return, and capital structure choice.",Aut,3,"; Zwiebel, J. (PI); Oseguera, J. (GP)"
